cod_universidad,des_universidad,anio,des_capitulo,des_articulo,des_concepto,des_subconcepto,des_partida,des_seccion,des_servicio,des_unidad_de_coste,des_organica_libre_1,des_organica_libre_2,fecha_referencia,credito_inicial,modificaciones,credito_total,derechos_reconocidos_netos,recaudacion_neta
010,Universidad-Complutense-de-Madrid,2022,ACTIVOS-FINANCIEROS,REINTEGROS-PRESTAMOS-CONCEDIDOS-FUERA-SEC-PUBLICO,PRESTAMOS-A-LARGO-PLAZO,DE-PRESTAMOS-AL-PERSONAL,De-Prestamos-al-Personal,VR.PT.ECON-GERENCIA,TESORERIA,no-informado,no-informado,no-informado,2022-01-01T00:00Z,390000,0,390000,0,0
010,Universidad-Complutense-de-Madrid,2022,INGRESOS-PATRIMONIALES,RENTAS-DE-BIENES-INMUEBLES,ALQUILER-Y-PRODUCTOS-DE-INMUEBLES,ALQUILER-DE-AULAS-Y-SALONES-DE-ACTOS,Alquiler-de-Aulas-y-Salones-de-Actos,VR.PT.ECON-GERENCIA,EDIFICIO-MULTIUSOS,no-informado,no-informado,no-informado,2022-01-01T00:00Z,30000,0,30000,0,0
010,Universidad-Complutense-de-Madrid,2022,TASAS-PRECIOS-PUBLICOS-Y-OTROS-INGRESOS,PRECIOS-PUBLICOS,OTROS-PRECIOS-PUBLICOS,OTROS-PRECIOS-PUBLICOS,Otros-Precios-Publicos,VR-CENTROS-Y-DEP.,FACULTADES,no-informado,no-informado,no-informado,2022-01-01T00:00Z,100000,0,100000,0,0
010,Universidad-Complutense-de-Madrid,2022,TASAS-PRECIOS-PUBLICOS-Y-OTROS-INGRESOS,OTROS-INGRESOS-PROCEDENTES-DE-PRESTACION-SERVICIOS,PRESTAMOS-INTERBIBLIOTECARIOS,PRESTAMOS-INTERBIBLIOTECARIOS,Prestamos-Interbibliotecarios,VR-INVESTIGACION-Y-T,ADM-BIBLIOT-GRAL,no-informado,no-informado,no-informado,2022-01-01T00:00Z,15000,0,15000,0,0
010,Universidad-Complutense-de-Madrid,2022,TRANSFERENCIAS-CORRIENTES,DE-FAMILIAS-E-INSTITUCIONES-SIN-FINES-DE-LUCRO,DE-FAMILIAS-E-INSTITUCIONES-SIN-FINES-DE-LUCRO,OTRAS-TRANSFERENCIAS,Otras-Transferencias,VR-INVESTIGACION-Y-T,ADM-BIBLIOT-GRAL,no-informado,no-informado,no-informado,2022-01-01T00:00Z,64000.86,0,64000.86,0,0
010,Universidad-Complutense-de-Madrid,2022,TASAS-PRECIOS-PUBLICOS-Y-OTROS-INGRESOS,OTROS-INGRESOS-PROCEDENTES-DE-PRESTACION-SERVICIOS,OTROS-INGRESOS-POR-PRESTACION-DE-SERVICIOS,OTROS-INGRESOS-POR-PRESTACION-DE-SERVICIIOS,Otros-Ingresos-por-Prestacion-de-Serviciios,VR-INVESTIGACION-Y-T,SV-INVESTIGACION,no-informado,no-informado,no-informado,2022-01-01T00:00Z,2500000,0,2500000,0,0
010,Universidad-Complutense-de-Madrid,2022,TASAS-PRECIOS-PUBLICOS-Y-OTROS-INGRESOS,OTROS-INGRESOS,INGRESOS-DIVERSOS,OTROS-INGRESOS-DIVERSOS,Otros-Ingresos-Diversos,VR-INVESTIGACION-Y-T,SV-INVESTIGACION,no-informado,no-informado,no-informado,2022-01-01T00:00Z,216000,0,216000,0,0
010,Universidad-Complutense-de-Madrid,2022,ENAJENACION-DE-INVERSIONES-REALES,REINTEGROS-POR-OPERACIONES-DE-CAPITAL,REINTEGROS-DE-EJERCICIOS-CERRADOS,REINTEGROS-DE-EJERCICIOS-CERRADOS,Reintegros-de-Ejercicios-Cerrados,VR-INVESTIGACION-Y-T,SV-INVESTIGACION,no-informado,no-informado,no-informado,2022-01-01T00:00Z,253119.13,0,253119.13,0,0
010,Universidad-Complutense-de-Madrid,2022,TRANSFERENCIAS-DE-CAPITAL,DE-LA-ADMINISTRACION-DEL-ESTADO,DEL-MINISTERIO-DE-CIENCIA-E-INNOVACION,INVESTIGACION-MINISTERIO-DE-CIENCIA-E-INNOVACION,Investigacion-Ministerio-de-Ciencia-e-Innovacion,VR-INVESTIGACION-Y-T,SV-INVESTIGACION,no-informado,no-informado,no-informado,2022-01-01T00:00Z,3682483.82,0,3682483.82,0,0
010,Universidad-Complutense-de-Madrid,2022,TRANSFERENCIAS-DE-CAPITAL,DE-LA-ADMINISTRACION-DEL-ESTADO,DEL-MINISTERIO-DE-CIENCIA-E-INNOVACION,PROGRAMA-RAMON-Y-CAJAL,Programa-Ramon-y-Cajal,VR-INVESTIGACION-Y-T,SV-INVESTIGACION,no-informado,no-informado,no-informado,2022-01-01T00:00Z,1420200,0,1420200,0,0
010,Universidad-Complutense-de-Madrid,2022,TRANSFERENCIAS-DE-CAPITAL,DE-LA-ADMINISTRACION-DEL-ESTADO,DEL-MINISTERIO-DE-CIENCIA-E-INNOVACION,PROGRAMA-JUAN-DE-LA-CIERVA,Programa-Juan-de-la-Cierva,VR-INVESTIGACION-Y-T,SV-INVESTIGACION,no-informado,no-informado,no-informado,2022-01-01T00:00Z,866000,0,866000,0,0
010,Universidad-Complutense-de-Madrid,2022,TRANSFERENCIAS-DE-CAPITAL,DE-LA-ADMINISTRACION-DEL-ESTADO,DE-OTROS-MINISTERIOS,INVESTIGACION-OTROS-MINISTERIOS,Investigacion-Otros-Ministerios,VR-INVESTIGACION-Y-T,SV-INVESTIGACION,no-informado,no-informado,no-informado,2022-01-01T00:00Z,115000,0,115000,0,0
010,Universidad-Complutense-de-Madrid,2022,TRANSFERENCIAS-DE-CAPITAL,DE-LA-ADMINISTRACION-DEL-ESTADO,DEL-MINIS-DE-ASUNT-ECONOMICOS-Y-TRANSFORM-DIGITAL,INVESTIGACION-M-ASUNTOS-ECONOMICOS-Y-TR-DIGITAL,Investigacion-M-Asuntos-Economicos-y-Tr-Digital,VR-INVESTIGACION-Y-T,SV-INVESTIGACION,no-informado,no-informado,no-informado,2022-01-01T00:00Z,0,0,0,0,0
010,Universidad-Complutense-de-Madrid,2022,TRANSFERENCIAS-DE-CAPITAL,DE-LA-ADMINISTRACION-DEL-ESTADO,DEL-MINISTERIO-DE-UNIVERSIDADES,INVESTIGACION-MINISTERIO-DE-UNIVERSIDADES,Investigacion-Ministerio-de-Universidades,VR-INVESTIGACION-Y-T,SV-INVESTIGACION,no-informado,no-informado,no-informado,2022-01-01T00:00Z,13496958,0,13496958,0,0
